t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
10.04,0,0,-0.3290469,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.06,0,0,-0.3386733,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.08,0,0,-0.3482996,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.1,0,0,-0.357926,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.12,0,0,-0.3675523,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.14,0,0,-0.3771787,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.16,0,0,-0.3868051,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.18,0,0,-0.3964314,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.2,0,0,-0.4060578,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.22,0,0,-0.4156841,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.24,0,0,-0.4253105,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.26,0,0,-0.4349369,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.28,0,0,-0.4445632,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.3,0,0,-0.4541896,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.32,0,0,-0.4638159,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.34,0,0,-0.4734423,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.36,0,0,-0.4830686,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.38,0,0,-0.492695,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.4,0,0,-0.5023214,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.42,0,0,-0.5119478,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.44,0,0,-0.5215741,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.46,0,0,-0.5312005,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.48,0,0,-0.5408269,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.5,0,0,-0.5504533,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.52,0,0,-0.5600797,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.54,0,0,-0.5697061,0,0,-0.4813187,0.007811412,0.1570094,0,0,-0.9118947,0
10.56,0,0,-0.5791755,0,0,-0.4734683,0.01721798,0.3460814,0,0,-0.9119575,0
10.58,0,0,-0.5882987,0,0,-0.4561642,0.02620278,0.5266759,0,0,-0.912096,0
10.6,0,0,-0.5968953,0,0,-0.4298304,0.03458874,0.6952336,0,0,-0.9123066,-0.01053351
10.62,0,0,-0.6047967,0,0,-0.3950688,0.04204349,0.8450742,0,0,-0.9127532,-0.02233148
10.64,0,0,-0.611853,0,0,-0.3528151,0.04840444,0.9729292,0,0,-0.9134486,-0.03476666
10.66,0,0,-0.6179364,0,0,-0.3041686,0.05354236,1.076201,0,0,-0.914394,-0.04727191
10.68,0,0,-0.6229435,0,0,-0.2503586,0.05736266,1.15299,0,0,-0.9155809,-0.05934155
10.7,0,0,-0.6267977,0,0,-0.1927091,0.05980615,1.202104,0,0,-0.9169915,-0.07053303
10.72,0,0,-0.6294497,0,0,-0.1326039,0.06084882,1.223061,0,0,-0.9186009,-0.08046849
10.74,0,0,-0.6308787,0,0,-0.0714509,0.06050114,1.216073,0,0,-0.9203776,-0.08883601
10.76,0,0,-0.6310917,0,0,-0.01064727,0.05880629,1.182006,0,0,-0.9222854,-0.09539027
10.78,0,0,-0.6301227,0,0,0.04845302,0.05583821,1.122348,0,0,-0.9242845,-0.09995234
10.8,0,0,-0.6280313,0,0,0.1045704,0.05169861,1.039142,0,0,-0.9263327,-0.1024088
10.82,0,0,-0.6249007,0,0,0.1565275,0.04651384,0.9349282,0,0,-0.9283869,-0.1027099
10.84,0,0,-0.6208352,0,0,0.2032739,0.04043107,0.8126644,0,0,-0.9304042,-0.1008665
10.86,0,0,-0.6159571,0,0,0.2439071,0.03361396,0.6756407,0,0,-0.9323431,-0.09694649
10.88,0,0,-0.6104033,0,0,0.2776891,0.02623878,0.5273996,0,0,-0.9341645,-0.09107
10.9,0,0,-0.6043221,0,0,0.3040591,0.01848952,0.3716395,0,0,-0.9358326,-0.083404
10.92,0,0,-0.5978693,0,0,0.322641,0.01055358,0.212127,0,0,-0.9373158,-0.07415599
10.94,0,0,-0.5912044,0,0,0.3332474,0.002617285,0.05260742,0,0,-0.9385871,-0.06356733
10.96,0,0,-0.5844868,0,0,0.3358777,0,0,0,0,-0.9396253,-0.05190602
10.98,0,0,-0.5777693,0,0,0.3358777,0,0,0,0,-0.9404557,-0.04152482
11,0,0,-0.5710517,0,0,0.3358777,0,0,0,0,-0.9411201,-0.03321986
11.02,0,0,-0.5643342,0,0,0.3358777,0,0,0,0,-0.9416516,-0.02657589
