t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
2.619999,0,0,0.05709288,0,0,0.999801,0,0,0,0,-0.8,0
2.639999,0,0,0.07708889,0,0,0.999801,0,0,0,0,-0.8,0
2.659999,0,0,0.09708491,0,0,0.999801,0,0,0,0,-0.8,0
2.679999,0,0,0.1170809,0,0,0.999801,0,0,0,0,-0.8,0
2.699999,0,0,0.1370769,0,0,0.999801,0,0,0,0,-0.8,0
2.719999,0,0,0.157073,0,0,0.999801,0,0,0,0,-0.8,0
2.739999,0,0,0.177069,0,0,0.999801,0,0,0,0,-0.8,0
2.759999,0,0,0.197065,0,0,0.999801,0,0,0,0,-0.8,0
2.779999,0,0,0.217061,0,0,0.999801,0,0,0,0,-0.8,0
2.799999,0,0,0.237057,0,0,0.999801,0,0,0,0,-0.8,0
2.819999,0,0,0.257053,0,0,0.999801,0,0,0,0,-0.8,0
2.839999,0,0,0.2770491,0,0,0.999801,0,0,0,0,-0.8,0
2.859999,0,0,0.2970451,0,0,0.999801,0,0,0,0,-0.8,0
2.879999,0,0,0.3170411,0,0,0.999801,0,0,0,0,-0.8,0
2.899999,0,0,0.3370371,0,0,0.999801,0,0,0,0,-0.8,0
2.919999,0,0,0.3570331,0,0,0.999801,0,0,0,0,-0.8,0
2.939999,0,0,0.3770292,0,0,0.999801,0,0,0,0,-0.8,0
2.959999,0,0,0.3970252,0,0,0.999801,0,0,0,0,-0.8,0
2.979999,0,0,0.4170212,0,0,0.999801,0,0,0,0,-0.8,0
2.999999,0,0,0.4370172,0,0,0.999801,0,0,0,0,-0.8,0
3.019999,0,0,0.4570132,0,0,0.999801,0,0,0,0,-0.8,0
3.039999,0,0,0.4770092,0,0,0.999801,0,0,0,0,-0.8,0
3.059999,0,0,0.4970053,0,0,0.999801,0,0,0,0,-0.8,0
3.079999,0,0,0.5170013,0,0,0.999801,0,0,0,0,-0.8,0
3.099999,0,0,0.5369973,0,0,0.999801,0,0,0,0,-0.8,0
3.119999,0,0,0.5569932,0,0,0.999801,0,0,0,0,-0.8,0
3.139999,0,0,0.5769892,0,0,0.999801,0,0,0,0,-0.8,0
3.159999,0,0,0.5969852,0,0,-0.999801,0,0,0,0,-0.8,0
